chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,rms,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,poly_features,tonnetz,zero_crossing_rate,tempogram
[0.5977482  0.33101683 0.1798327  ... 0.16767676 0.16623314 0.18679789],[0.59919864 0.6716346  0.5535342  ... 0.39773987 0.44243683 0.5942997 ],[0.18404991 0.18049658 0.17716676 ... 0.22206651 0.22134768 0.22077383],"[2.17299345e-06 5.10735781e-03 1.09605690e-01 ... 4.69125764e+00
 4.96099513e+00 3.83803526e+00]","[-26.52763542 -16.03490896 -10.79318918 ... -15.48351721 -12.99720445
 -11.04653123]",[0.00123168 0.01558064 0.02268105 ... 0.1387905  0.13619117 0.13886784],"[1811.61722165 1587.1976757  1388.18715723 ...  969.48100342 1172.54200216
 1571.85257316]","[2330.54305724 1996.48492049 1830.16089719 ... 1163.31410455 1612.65282452
 2081.34426974]","[23.17391661 12.96535719 15.25012918 ... 27.96668132 21.18791165
 21.5352941 ]","[4.2335857e-03 4.3579177e-03 1.5009471e-03 ... 4.3467764e-05 7.0276723e-04
 3.2591708e-03]","[4812.67089844 3122.31445312 2454.78515625 ... 1959.52148438 1991.82128906
 2950.04882812]",[0.00138065 0.06735727 0.21991047 ... 0.96440863 1.13587815 1.32620181],"[ 0.03955315  0.01454572  0.0090486  ...  0.00209779  0.02291697
 -0.01726217]",[0.26855469 0.28564453 0.29785156 ... 0.05908203 0.05371094 0.03857422],[0.04769672 0.04832307 0.048958   ... 0.27962037 0.27929785 0.27897488]
[0.42931566 0.51373286 0.31709009 ... 0.27904611 0.27035509 0.26336185],[0.51987392 0.65926839 0.62713245 ... 0.46717155 0.41471858 0.61437704],[0.25181297 0.24902658 0.24629376 ... 0.24872502 0.24854127 0.24842573],"[8.99744004e-08 8.18395956e-03 2.10924721e-01 ... 1.68132842e+00
 1.23440913e+00 1.20150093e+00]","[-27.47032638 -13.0835915   -7.98632003 ...  -7.9161485   -8.18840235
  -5.46243204]",[0.0002406  0.02166418 0.03690277 ... 0.08072727 0.07641124 0.07195183],"[3191.68071372 1018.06825922  902.28716343 ...  646.06921383  948.63182133
 1433.5215722 ]","[2871.3371404  1633.16926304 1386.25791881 ...  799.21263697 1519.94588677
 2087.57458102]","[25.61915112 14.6531083  18.16960709 ... 22.09584751 17.15412713
 17.02556317]","[4.6353042e-02 2.2070357e-03 8.2517980e-04 ... 5.4650889e-05 9.8187546e-04
 4.1335095e-03]","[6922.92480469 1722.65625    1464.2578125  ...  990.52734375 1184.32617188
 2820.84960938]","[3.61474807e-04 8.47576575e-02 3.72671513e-01 ... 9.46334874e-01
 8.14483315e-01 8.85082062e-01]","[ 0.05206882  0.02417607  0.00870032 ...  0.00482986  0.01693006
 -0.00528839]",[0.31396484 0.33447266 0.34667969 ... 0.046875   0.04541016 0.03173828],[0.04562318 0.04619477 0.0467751  ... 0.24584853 0.24610425 0.24636307]
[0.60318362 0.8088434  0.79298165 ... 0.34465094 0.37373752 0.39221891],[0.33214745 0.42601105 0.53851302 ... 0.55832999 0.63049811 0.66481099],[0.25173905 0.25070658 0.24964297 ... 0.24477294 0.24434143 0.24422354],"[2.49496970e-06 9.98357871e-03 1.31336853e-01 ... 1.73345458e+00
 1.73499118e+00 1.39035707e+00]","[-24.81994219  -8.00403214  -2.84264817 ...  -0.02596371  -0.0443215
  -0.74344732]",[0.00177405 0.02610571 0.03289858 ... 0.09428072 0.08445482 0.08554752],"[2738.45050727 1640.25281201 1310.07036125 ... 1502.0997014  1490.60006599
 1451.45893685]","[2911.66183293 2396.17034487 2205.33554731 ... 1998.3822793  1959.66658054
 1952.98505052]","[24.5780053  14.94613338 13.33336213 ... 19.5702191  19.84866911
 17.93088601]",[0.01279187 0.00474396 0.00114958 ... 0.00461056 0.00475878 0.00470574],"[6212.32910156 4134.375      3165.38085938 ... 3208.44726562 3219.21386719
 3100.78125   ]",[0.0016869  0.09357033 0.29870892 ... 1.33112504 1.31145463 1.1584302 ],[0.03608733 0.02683164 0.01143152 ... 0.02723086 0.01757726 0.00118942],[0.27636719 0.28515625 0.28515625 ... 0.05517578 0.06103516 0.04541016],[0.04627311 0.04679484 0.0473193  ... 0.26075135 0.26070083 0.26064936]
[0.42491197 0.24933313 0.16029554 ... 0.15005957 0.15550462 0.18577008],[0.68238468 0.76056258 0.61049157 ... 0.44308414 0.47197571 0.67115379],[0.23472751 0.23253572 0.2303822  ... 0.2326717  0.23298443 0.23325318],"[1.10023062e-06 2.37730652e-02 7.79095003e-01 ... 4.55926534e-02
 4.07454998e-02 2.70279181e-02]","[-30.67109663 -18.5357012  -12.05431838 ... -13.70391707 -13.30209137
 -12.51255157]",[0.0011775  0.04278761 0.06417923 ... 0.01345324 0.01253493 0.01242748],"[3160.35505672 1549.4460726  1163.67108943 ...  707.45044102  751.13636934
  979.5771068 ]","[2758.46170995 2034.31162906 1617.06076399 ... 1312.7019199  1379.14516055
 1687.15720291]","[23.87998801 14.36474186 15.87691851 ... 20.11850229 20.50384091
 17.79483319]","[3.1492576e-02 4.3049292e-03 8.0898270e-04 ... 8.5104897e-05 1.7279376e-04
 7.6522102e-04]","[6395.36132812 2906.98242188 1421.19140625 ...  656.76269531  699.82910156
 1216.62597656]",[0.00137089 0.1336481  0.58333206 ... 0.08823824 0.09491085 0.10331263],"[ 0.00725017  0.00608609 -0.00037805 ...  0.03391935  0.03553452
 -0.00171566]",[0.27832031 0.30078125 0.31640625 ... 0.04443359 0.04345703 0.03271484],[0.01813773 0.01835307 0.01857323 ... 0.20310708 0.2032838  0.20347261]
[0.49808853 0.46537728 0.32722826 ... 0.27489559 0.39743878 0.51517257],[0.57790487 0.5383163  0.58899472 ... 0.3419324  0.40181708 0.43108563],[0.22650806 0.22636086 0.22647141 ... 0.25390844 0.25297359 0.25201278],"[5.57429861e-07 3.11257775e-03 5.73396724e-02 ... 1.99694361e-01
 2.20850969e-01 1.32805507e-01]","[-32.12335934 -13.86655775  -8.45429357 ...  -8.42694818  -7.55193013
  -6.56220834]",[0.00048045 0.01083704 0.01555365 ... 0.03019849 0.02702402 0.02913027],"[1989.52189562  943.49321458  729.85745054 ...  449.95691328  534.26709142
  790.15257329]","[2478.76837343 1678.34672133 1388.14710365 ...  634.88963162 1000.49691195
 1513.94303767]","[21.64027371 13.15469039 15.66760438 ... 20.72987563 17.99877826
 17.14593868]","[1.0363622e-02 1.5770142e-03 5.2861520e-04 ... 1.2917170e-05 1.3279769e-04
 7.9113554e-04]","[4565.0390625  1324.29199219  796.72851562 ...  785.96191406  818.26171875
  990.52734375]",[0.00076214 0.05289947 0.19921034 ... 0.28956858 0.31002661 0.28624652],"[ 0.03432528  0.01090231  0.00254985 ... -0.0383081  -0.04719481
 -0.03061423]",[0.27929688 0.29589844 0.30566406 ... 0.0234375  0.03125    0.02539062],[0.03137167 0.03178112 0.03219675 ... 0.2567418  0.25689892 0.25705903]
[0.52012747 0.33380446 0.17232212 ... 0.27102623 0.25218075 0.33822686],[0.64701313 0.77716879 0.56946231 ... 0.46283676 0.47137261 0.65740906],[0.1939124  0.18969639 0.18591499 ... 0.23862928 0.24009142 0.24154409],"[9.53591246e-07 9.55942405e-02 3.32806731e+00 ... 1.80265581e+00
 1.71969924e+00 8.17357972e-01]","[-27.09389288 -11.12109426  -5.80353639 ...  -5.56344514  -5.49420017
  -5.07372971]",[0.00117711 0.09027564 0.14364322 ... 0.08910128 0.07781687 0.07723515],"[3393.2320866  1114.56266062  903.81696245 ...  689.59931819  706.42368192
  803.53144211]","[2918.61432153 1771.78315509 1453.35855057 ...  756.76090483  789.54780768
  988.64596588]","[26.34412647 14.15373913 17.5834552  ... 23.5034003  21.24111956
 20.52939696]","[2.7394228e-02 1.6911763e-03 3.0434679e-04 ... 2.3308245e-05 3.9993531e-05
 1.7933600e-04]","[7493.5546875  1819.55566406 1453.49121094 ... 1055.12695312  979.76074219
 1184.32617188]",[0.00115798 0.23790273 0.92749164 ... 0.7748537  0.77842343 0.69606928],"[ 0.00881754  0.00538243 -0.01044121 ... -0.03660275 -0.04229589
 -0.01933336]",[0.28271484 0.30175781 0.31005859 ... 0.04931641 0.05273438 0.04052734],[0.02731658 0.02765217 0.02799262 ... 0.10788449 0.107855   0.1078334 ]
[0.46273804 0.51557143 0.42381628 ... 0.2034943  0.19999134 0.23056548],[0.6825298  0.68664214 0.73281537 ... 0.34278281 0.37808416 0.52872708],[0.26110397 0.25963196 0.25814062 ... 0.23281902 0.23240196 0.23196092],"[1.69101767e-07 2.72682979e-03 1.60761005e-01 ... 3.67269904e+00
 3.61892111e+00 2.71846632e+00]","[-29.60182745 -14.66354296  -8.62700703 ...  -3.05719327  -2.71866662
  -1.38551497]",[0.00038718 0.01790459 0.05602569 ... 0.12019976 0.11806116 0.11851557],"[4131.78494917 2321.44479407 1702.63124862 ...  891.47957689  928.96586141
 1108.88228484]","[3161.06504973 2891.08860622 2424.46559329 ... 1140.68026327 1274.99634163
 1581.59117381]","[19.98534414 15.99854698 18.90446016 ... 28.00536236 23.38014204
 21.40885286]","[1.0122481e-01 2.5444215e-02 8.0832979e-03 ... 9.1633294e-05 3.2457121e-04
 1.2789328e-03]","[7805.78613281 6352.29492188 3542.21191406 ... 1238.15917969 1227.39257812
 1378.125     ]","[5.09461733e-04 5.26048613e-02 3.76942298e-01 ... 1.20084129e+00
 1.22698474e+00 1.30932467e+00]",[0.0068455  0.01360622 0.01052803 ... 0.04281877 0.02880175 0.0127455 ],[0.28613281 0.31640625 0.33056641 ... 0.06152344 0.0546875  0.04003906],[0.04490961 0.04548191 0.04606265 ... 0.18237662 0.18245285 0.182536  ]
[0.44209173 0.69588632 0.51283418 ... 0.23016494 0.44324514 0.30064976],[0.5708655  0.62271597 0.52743172 ... 0.39247357 0.53767377 0.50411865],[0.20455125 0.20037663 0.19633849 ... 0.22971672 0.22980321 0.22999741],"[1.82382016e-08 1.06955488e-02 3.40795232e-01 ... 5.57042077e-01
 1.03483436e+00 2.41048930e+00]","[-25.69177145 -13.4407952   -7.43621577 ... -14.34621197  -9.98821847
  -7.69409972]",[0.00014222 0.02371366 0.06305483 ... 0.06630736 0.07931922 0.07857765],"[4443.59973888  762.00008905  797.57691705 ...  858.93892722 1461.37802213
 1797.69100113]","[3009.01934721 1605.11969945 1481.70780868 ... 1161.06188957 2147.83016298
 2392.08309042]","[25.54687468 13.62883264 17.99841655 ... 24.22361275 16.8154656
 18.58872175]",[0.07014968 0.00054249 0.00063541 ... 0.00020797 0.00427265 0.00606194],"[8107.25097656  915.16113281 1130.49316406 ... 1162.79296875 2950.04882812
 4263.57421875]","[1.65365240e-04 7.79170015e-02 4.15634450e-01 ... 5.23918130e-01
 8.11825248e-01 1.13555651e+00]","[-0.02718709 -0.0116438  -0.00578474 ... -0.01100877 -0.00214553
 -0.02655858]",[0.34423828 0.36621094 0.375      ... 0.04833984 0.05859375 0.04541016],[0.03867718 0.03909401 0.03951475 ... 0.078844   0.07884894 0.07885317]
[0.57932178 0.23358826 0.16678833 ... 0.42873887 0.41497547 0.51565434],[0.45244409 0.5400993  0.6744262  ... 0.61578415 0.4870685  0.75636601],[0.2283161  0.22621322 0.22412584 ... 0.25500402 0.25534278 0.25566298],"[5.54401646e-07 4.18790828e-03 1.13574773e-01 ... 9.06198026e-02
 1.33139366e-01 1.30282300e-01]","[-26.61756473 -18.20602312  -9.30920138 ...  -8.17079432  -8.71569528
  -8.03815286]",[0.00062479 0.01629609 0.02471387 ... 0.02279107 0.02257714 0.02432381],"[3317.66256882 1810.14037534 1532.13757369 ... 2271.51452138 2231.71809689
 2320.06380303]","[3042.9945031  2223.13676111 1953.10135055 ... 2623.33103509 2598.91390404
 2632.22896584]","[24.80884853 13.76441797 15.82537993 ... 21.41732514 19.92717063
 18.46477556]",[0.04052927 0.00955616 0.00279281 ... 0.01313978 0.01659495 0.0234725 ],"[6922.92480469 3197.68066406 2174.85351562 ... 5297.16796875 5307.93457031
 5587.86621094]",[0.0009088  0.06241163 0.2429022  ... 0.30610927 0.35938231 0.38998091],"[ 0.0208929   0.0106781   0.0006129  ...  0.00210404 -0.00592869
 -0.00403912]",[0.24560547 0.27197266 0.29296875 ... 0.10693359 0.10302734 0.06835938],[0.05231254 0.05294468 0.05358503 ... 0.26930562 0.26917316 0.26904182]
[0.43647282 0.29522617 0.20835302 ... 0.2463331  0.26997477 0.37893951],[0.60721021 0.71905668 0.83582196 ... 0.40317187 0.3965715  0.5189449 ],[0.2536348  0.25248509 0.2515279  ... 0.2513021  0.25029936 0.24921587],"[1.74171451e-06 9.53263247e-02 2.32342282e+00 ... 5.81315165e+00
 5.09926927e+00 3.91408912e+00]","[-28.05260061 -11.57886008  -4.57171499 ...  -0.67053789   0.10983281
   1.48525613]",[0.00109368 0.07182882 0.10648856 ... 0.16099918 0.14405145 0.14232129],"[2857.98666399 1281.59987929 1092.63894476 ...  564.15832895  835.87092365
 1219.52521657]","[2633.58778593 1743.31720543 1442.61871661 ...  695.30907768 1410.67782744
 1940.16978994]","[26.11158665 12.5238101  18.18393897 ... 26.1868964  20.47937278
 18.29274583]","[1.9330142e-02 3.7706748e-03 1.3221239e-03 ... 5.4880302e-06 5.6106492e-04
 2.9081309e-03]","[6147.72949219 1981.0546875  1658.05664062 ...  936.69433594 1313.52539062
 2174.85351562]",[0.00164831 0.31605821 1.36053204 ... 1.42466138 1.4784874  1.61905413],"[-0.00851782 -0.00611205  0.00597505 ...  0.02005183  0.02882457
 -0.01508476]",[0.28222656 0.30859375 0.32470703 ... 0.02832031 0.02880859 0.02148438],[0.01774757 0.01794887 0.01815373 ... 0.14164829 0.1416666  0.14168976]
